#{"t_start": 1681381771.0962954, "env_id": null}
r,l,t
0,281,5.030158
0,308,5.306615
0,151,5.440156
0,522,5.944863
0,855,8.386274
0,753,9.094646
0,444,9.502592
0,324,9.801893
0,322,10.099093
0,119,10.214893
0,352,12.153045
0,331,12.476815
0,165,12.638102
0,114,12.754753
0,184,12.932832
0,254,13.181344
0,1190,15.788987
0,169,15.955392
0,135,16.085799
0,351,16.436093
0,207,16.637901
0,745,18.747395
0,116,18.873281
0,148,19.017989
65,98,19.116858
0,104,19.220301
0,499,19.728688
0,92,19.818979
0,60,19.878444
0,150,20.023918
0,255,20.271802
0,89,20.358626
0,139,20.501375
0,79,20.576919
116,161,22.123704
0,374,22.471496
0,330,22.781599
0,265,23.04645
0,185,23.223271
0,67,23.289895
0,339,23.61602
0,244,23.863334
0,135,23.998405
0,191,26.092385
0,83,26.179495
0,114,26.285667
0,68,26.350066
0,114,26.457155
0,146,26.595367
42,97,26.693924
0,121,26.80835
0,190,26.987947
0,189,27.169734
0,132,27.294513
0,278,27.553556
0,115,27.665442
0,155,27.807939
0,130,27.926847
0,148,29.371902
0,81,29.446921
49,96,29.534636
0,67,29.595856
0,223,29.798758
0,155,29.942884
0,159,30.084605
0,71,30.149529
0,147,30.281024
0,62,30.337303
0,133,30.455864
0,78,30.526134
0,128,30.640122
0,66,30.699671
0,123,30.814705
0,133,30.933029
0,140,31.057802
0,124,32.462753
0,162,32.610081
0,272,32.85404
0,128,32.973623
0,110,33.071921
0,188,33.239137
0,151,33.375317
0,164,33.523353
0,152,33.660319
0,125,33.771897
0,177,33.93398
0,204,34.116802
0,202,35.579116
0,176,35.741201
0,154,35.878132
0,82,35.951846
0,65,36.010618
0,43,36.053497
78,120,36.160568
0,107,36.256518
0,57,36.306715
0,68,36.36821
0,233,36.57692
0,125,36.688273
0,121,36.797649
0,101,36.888165
0,103,36.98567
0,105,37.079938
0,119,37.187465
0,230,38.684443
0,105,38.781415
0,78,38.851707
0,129,38.968792
0,105,39.062672
0,397,39.430931
0,85,39.507694
0,103,39.599951
0,313,39.882199
0,113,39.985293
0,96,40.074977
0,140,40.20234
0,154,40.339013
0,116,40.44344
0,34,40.473253
0,84,41.836373
0,68,41.89766
0,132,42.019926
0,116,42.124736
0,108,42.220528
0,117,42.332399
0,92,42.413322
0,103,42.505702
0,219,42.701728
0,105,42.795572
60,240,43.010205
0,71,43.07413
0,368,43.408041
0,256,43.636537
0,102,45.14009
0,569,45.657341
0,1330,46.849535
0,1120,49.147247
0,503,49.606224
0,4226,56.000023
0,80,56.071152
0,2699,61.035135
0,96,61.122172
0,134,61.243168
0,950,62.107604
0,108,62.20577
0,73,62.270684
0,160,62.416325
5877,8753,76.882427
0,11345,93.8197
0,27,93.84602
0,632,95.728992
0,19103,125.648389
0,233,125.8677
0,110,125.971241
0,14383,149.087679
0,6508,159.497005
0,7503,172.59514
0,22554,208.539436
0,121,208.647454
0,3192,214.111328
0,1061,215.069159
0,171,215.223022
0,16377,240.325609
0,458,240.739217
0,1119,243.050823
0,574,243.563061
0,410,243.932805
0,397,245.58672
0,319,245.877774
0,233,246.085305
0,872,246.870413
0,83,246.946542
0,247,247.167083
0,344,248.710859
0,95,248.79594
0,8503,261.53487
0,74,261.602338
0,105,261.697534
0,147,261.830221
0,194,262.006426
0,24475,299.337332
0,1121,301.665855
0,10677,318.042119
0,7836,330.684223
0,48,330.729862
0,117,330.83795
0,143,330.970118
0,22947,366.920577
0,389,367.289843
0,11325,385.510884
0,1359,386.750731
0,37,386.785537
0,396,388.450713
0,368,388.793187
0,338,389.100799
0,434,389.49688
0,1617,392.327662
86,344,392.639574
0,510,393.108651
0,1029,395.373023
0,81,395.447078
0,264,395.686748
0,98,395.776055
0,185,395.949954
0,130,396.067752
0,76,396.137327
0,178,396.298152
0,105,396.393793
0,78,396.465159
0,81,396.537601
0,73,396.604829
0,397,398.292864
0,432,398.68784
0,4994,405.8024
0,26069,734.191177
0,7433,746.488998
27,1653,748.096798
0,86,749.788129
0,4100,756.678941
0,78,756.764685
0,326,757.077584
0,183,757.25504
0,219,757.46312
0,81,757.540586
0,1691,760.549885
0,3803,766.701368
0,214,766.898992
33,278,767.152826
220,221,767.358654
0,71,767.423725
0,48,767.466567
0,475,767.897048
0,839,769.968065
296,338,770.269528
0,66,770.329287
0,40,770.364504
0,1237,772.789193
0,192,772.982026
0,198,773.163122
0,116,773.268586
0,90,773.351524
0,33,773.380979
0,178,773.543152
0,104,773.64297
0,200,773.82507
0,130,773.944453
0,113,774.046793
0,87,774.124501
0,210,774.316583
0,111,774.418141
0,162,774.571478
0,68,774.632055
0,24318,814.013188
0,12903,835.680838
0,7334,846.86689
0,608,848.812352
0,2676,852.747044
0,155,852.896669
0,140,853.02926
0,128,853.15061
0,513,853.642046
0,1085,856.005705
154,234,856.226718
0,95,856.316767
0,219,856.524462
0,82,856.602524
0,231,856.824085
0,147,856.972347
0,779,859.075024
0,239,859.309155
0,579,859.860404
741,1586,862.740458
0,1134,863.824603
0,121,863.939034
0,1851,867.057891
0,248,868.650356
0,346,868.986456
0,497,869.465343
0,176,869.633962
0,406,870.027227
0,68,870.091079
0,318,870.395251
0,233,871.953319
0,180,872.126503
119,208,872.322052
0,156,872.465484
0,28,872.490726
0,201,872.674541
0,50,872.719375
0,549,873.219386
0,218,873.426754
0,230,873.636752
0,715,875.553699
0,97,875.642595
0,110,875.74337
0,64,875.800867
0,113,875.905901
0,271,876.15217
0,104,876.247237
0,284,876.510488
0,65,876.570574
0,105,876.666821
0,102,876.759951
0,543,878.619033
0,156,878.766515
0,407,879.145862
97,129,879.266414
0,65,879.328858
0,148,879.466491
0,113,879.579493
0,210,879.774854
0,435,880.184351
0,83,881.586697
0,178,881.758653
0,88,881.848526
162,228,882.063783
0,485,882.517447
0,208,882.712464
0,35,882.746403
0,1167,885.208825
0,292,885.480671
0,626,886.072675
46,325,886.37715
0,189,886.554594
0,106,886.653808
0,351,888.256718
0,83,888.332033
0,842,889.100671
0,2868,892.989257
0,767,895.009872
0,2588,898.668853
297,582,899.188806
0,164,899.335181
0,159,900.773451
0,646,901.356059
0,126,901.46867
0,562,901.97827
0,154,902.117362
0,184,902.281654
0,157,902.423294
0,72,902.486748
0,76,902.560706
0,819,904.589258
0,871,905.374548
3077,3277,910.926806
0,48,910.969211
0,32,910.999263
0,668,911.597654
0,170,911.749364
0,307,913.341221
0,147,913.478207
0,1562,914.90272
0,237,915.12294
0,280,916.717043
2436,3256,920.987478
25,835,923.082388
0,35,923.115772
0,584,923.666887
0,350,923.988201
0,303,924.26728
0,280,924.529286
0,46,924.572613
0,187,924.745555
0,53,926.131017
0,1838,927.83468
0,156,927.97735
0,164,929.489668
0,1160,930.567722
0,16516,956.930361
0,481,957.364353
0,172,958.822955
0,1228,959.957422
0,1996,963.075869
0,93,963.160045
0,301,963.433161
0,9639,978.772369
0,204,978.958708
0,18910,1007.961106
0,200,1008.143599
21,392,1009.815895
0,2974,1013.807257
0,801,1014.542188
0,70,1014.606576
0,766,1016.5653
0,598,1017.114713
0,3588,1022.904521
0,585,1023.443871
0,703,1025.382441
0,123,1025.504056
0,627,1026.073817
0,107,1026.171689
0,237,1026.39263
0,67,1026.454379
0,3692,1032.387866
0,243,1032.610007
0,2195,1035.912199
0,229,1036.116855
1299,1335,1038.589044
0,65,1038.647974
0,575,1039.176717
0,59,1039.2286
0,1511,1041.832666
0,211,1042.021773
0,294,1042.284223
0,56,1042.33518
0,60,1042.38949
238,379,1042.734143
0,158,1042.875272
0,697,1044.839451
0,129,1044.958539
0,732,1045.644173
0,48473,1121.407578
72,226,1121.617044
0,1175,1124.084307
0,3417,1128.650576
4670,4855,1137.24394
0,391,1137.624631
0,59,1137.678331
0,63,1137.737983
0,59,1137.791963
0,55,1137.843974
0,118,1137.954066
0,3643,1144.054629
0,134,1144.178987
0,46,1144.220932
0,49,1144.267791
0,83,1144.346077
0,192,1144.523828
76,102,1144.618838
0,111,1144.723223
0,46,1144.781769
0,41,1144.819354
0,401,1145.197344
0,35,1145.229887
0,66,1145.29356
0,70,1145.360049
0,172,1146.821866
0,94,1146.913241
0,160,1147.069504
0,220,1147.274834
0,55,1147.327177
26,97,1147.41775
0,71,1147.482979
0,226,1147.694844
0,77,1147.765594
0,81,1147.841724
0,95,1147.930798
0,148,1148.075605
0,212,1148.274374
0,25,1148.297515
0,30,1148.327589
0,1262,1150.818591
0,1542,1153.633638
0,89,1153.719401
0,46,1153.762388
0,78,1153.836951
0,281,1154.102373
0,71,1154.170954
0,46,1154.215634
0,250,1154.459655
0,147,1154.599446
0,116,1154.709542
0,94,1154.799236
0,64,1154.861058
0,312,1155.159103
0,136,1156.678303
0,38,1156.715101
0,16955,1183.982225
0,7655,1196.657624
0,3406,1201.296427
0,88,1201.386405
0,121,1201.501505
0,297,1201.785606
0,724,1203.831463
0,259,1204.077966
0,108,1204.180886
0,313,1204.480165
0,32581,1255.207016
0,145,1255.341558
242,425,1255.740357
0,87,1255.820357
160,226,1257.324726
0,252,1257.560147
16,995,1258.480692
0,57,1258.534
0,2061,1261.777082
0,427,1262.173431
0,146,1262.308516
0,106,1262.40579
0,842,1264.477676
0,80,1264.550606
29,312,1264.834108
104,227,1265.039623
0,98,1265.127002
0,321,1265.42455
0,125,1265.538805
